fecha;mes;año;ventas
2017-08-11;8;2017;20039.24000000002
2017-08-12;8;2017;13980.859999999986
2017-08-13;8;2017;12334.18999999999
2017-08-14;8;2017;18156.369999999995
2017-08-15;8;2017;23727.260000000035
2017-08-16;8;2017;23950.420000000046
2017-08-17;8;2017;18357.909999999985
2017-08-18;8;2017;17132.009999999984
2017-08-19;8;2017;12910.129999999983
2017-08-20;8;2017;12873.779999999988
2017-08-21;8;2017;22219.350000000042
2017-08-22;8;2017;16627.119999999977
2017-08-23;8;2017;15873.610000000004
2017-08-24;8;2017;13361.109999999984
2017-08-25;8;2017;15163.319999999983
2017-08-26;8;2017;10141.689999999988
2017-08-27;8;2017;13367.879999999981
2017-08-28;8;2017;22244.52000000003
2017-08-29;8;2017;33756.48000000005
2017-08-30;8;2017;30938.160000000087
2017-08-31;8;2017;20671.510000000017
2016-09-04;9;2016;72.89
2016-09-05;9;2016;59.5
2016-09-15;9;2016;134.97
2017-09-01;9;2017;28473.130000000063
2017-09-02;9;2017;18128.660000000003
2017-09-03;9;2017;27795.410000000065
2017-09-04;9;2017;24937.98000000005
2017-09-05;9;2017;20981.550000000007
2017-09-06;9;2017;25624.61
2017-09-07;9;2017;16893.499999999985
2017-09-08;9;2017;11883.469999999983
2017-09-09;9;2017;15082.529999999986
2017-09-10;9;2017;17810.269999999997
2017-09-11;9;2017;23376.780000000035
2017-09-12;9;2017;27136.010000000082
2017-09-13;9;2017;27593.280000000053
2017-09-14;9;2017;22557.76000000003
2017-09-15;9;2017;18373.259999999987
2017-09-16;9;2017;21147.370000000017
2017-09-17;9;2017;19979.420000000002
2017-09-18;9;2017;28487.81000000004
2017-09-19;9;2017;20057.950000000008
2017-09-20;9;2017;22102.550000000007
2017-09-21;9;2017;19015.530000000013
2017-09-22;9;2017;16255.119999999979
2017-09-23;9;2017;10513.499999999989
2017-09-24;9;2017;13049.749999999987
2017-09-25;9;2017;17987.09999999999
2017-09-26;9;2017;21681.900000000034
2017-09-27;9;2017;20646.920000000013
2017-09-28;9;2017;23264.520000000026
2017-09-29;9;2017;30878.560000000085
2017-09-30;9;2017;12685.489999999985
2016-10-02;10;2016;100
2016-10-03;10;2016;463.48
2016-10-04;10;2016;9940.95999999999
2016-10-05;10;2016;8343.249999999995
2016-10-06;10;2016;7960.509999999993
2016-10-07;10;2016;7228.049999999997
2016-10-08;10;2016;8441.849999999997
2016-10-09;10;2016;3336.9899999999993
2016-10-10;10;2016;3692.5700000000006
2017-10-01;10;2017;18821.27
2017-10-02;10;2017;21764.650000000016
2017-10-03;10;2017;26118.57000000004
2017-10-04;10;2017;21197.700000000023
